freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.039e+01,4.725e+01,5.166e+02,5.943e+02
1.5,5.465e+01,3.857e+01,3.037e+02,3.969e+02
2.9,5.091e+01,1.643e+01,3.152e+01,9.886e+01
4.4,5.203e+01,1.804e+01,2.377e+02,3.077e+02
5.9,4.987e+01,1.892e+01,1.032e+03,1.101e+03
7.4,5.097e+01,1.946e+01,1.766e+03,1.836e+03
8.8,4.780e+01,1.917e+01,2.578e+03,2.645e+03
10.3,4.751e+01,2.222e+01,3.565e+03,3.635e+03
11.8,5.297e+01,2.251e+01,4.744e+03,4.820e+03
13.3,4.966e+01,2.948e+01,6.467e+03,6.546e+03
14.7,4.737e+01,4.114e+01,8.747e+03,8.835e+03
16.2,4.921e+01,4.451e+01,1.097e+04,1.106e+04
17.7,5.214e+01,5.648e+01,1.347e+04,1.358e+04
19.1,5.541e+01,7.780e+01,1.600e+04,1.613e+04
20.6,5.963e+01,9.392e+01,1.886e+04,1.902e+04
22.1,6.484e+01,1.268e+02,2.226e+04,2.245e+04
23.6,6.807e+01,1.924e+02,2.539e+04,2.565e+04
25.0,7.523e+01,3.115e+02,3.079e+04,3.118e+04
26.5,9.132e+01,5.317e+02,3.902e+04,3.964e+04
28.0,1.036e+02,8.139e+02,4.854e+04,4.946e+04
29.5,1.058e+02,1.178e+03,5.965e+04,6.094e+04
30.9,1.101e+02,1.837e+03,7.593e+04,7.787e+04
32.4,1.273e+02,2.872e+03,9.317e+04,9.616e+04
33.9,1.734e+02,5.195e+03,1.121e+05,1.174e+05
35.4,1.600e+02,1.006e+04,1.378e+05,1.480e+05
36.8,1.841e+02,1.815e+04,1.766e+05,1.949e+05
38.3,4.469e+02,2.863e+04,2.330e+05,2.621e+05
39.8,1.251e+03,3.983e+04,3.151e+05,3.562e+05
41.2,5.609e+03,6.422e+04,4.275e+05,4.974e+05
42.7,1.807e+04,9.556e+04,5.221e+05,6.357e+05
44.2,3.159e+04,9.908e+04,6.489e+05,7.796e+05
45.7,3.812e+04,9.126e+04,8.264e+05,9.557e+05
47.1,3.738e+04,8.799e+04,1.151e+06,1.277e+06
48.6,3.970e+04,8.072e+04,1.508e+06,1.628e+06
50.1,4.480e+04,6.624e+04,1.644e+06,1.755e+06
51.6,4.367e+04,4.846e+04,1.428e+06,1.520e+06
53.0,3.829e+04,3.726e+04,1.130e+06,1.206e+06
54.5,3.361e+04,2.938e+04,8.612e+05,9.242e+05
56.0,2.672e+04,2.067e+04,6.496e+05,6.970e+05
57.4,2.131e+04,1.653e+04,5.022e+05,5.400e+05
58.9,1.851e+04,1.424e+04,3.887e+05,4.215e+05
60.4,1.742e+04,1.204e+04,2.975e+05,3.269e+05
61.9,1.652e+04,9.703e+03,2.363e+05,2.625e+05
63.3,1.488e+04,9.323e+03,1.946e+05,2.188e+05
64.8,1.326e+04,1.011e+04,1.699e+05,1.933e+05
66.3,1.225e+04,1.083e+04,1.512e+05,1.743e+05
67.8,1.174e+04,1.180e+04,1.363e+05,1.598e+05
69.2,1.138e+04,1.318e+04,1.290e+05,1.536e+05
70.7,1.034e+04,1.444e+04,1.176e+05,1.424e+05
72.2,1.037e+04,1.688e+04,1.085e+05,1.357e+05
73.7,1.013e+04,1.802e+04,9.278e+04,1.209e+05
75.1,9.106e+03,1.650e+04,7.244e+04,9.804e+04
76.6,7.858e+03,1.473e+04,5.631e+04,7.890e+04
78.1,5.890e+03,1.307e+04,4.196e+04,6.092e+04
79.5,3.821e+03,1.049e+04,3.312e+04,4.744e+04
81.0,2.200e+03,6.113e+03,3.235e+04,4.066e+04
82.5,1.396e+03,2.874e+03,3.300e+04,3.727e+04
84.0,1.404e+03,1.819e+03,2.877e+04,3.200e+04
85.4,1.449e+03,1.490e+03,2.956e+04,3.250e+04
86.9,1.489e+03,1.295e+03,3.855e+04,4.134e+04
88.4,2.556e+03,2.858e+03,5.827e+04,6.368e+04
89.9,4.529e+03,7.829e+03,7.139e+04,8.375e+04
91.3,6.489e+03,1.480e+04,7.979e+04,1.011e+05
92.8,8.580e+03,2.202e+04,9.195e+04,1.225e+05
94.3,1.161e+04,2.866e+04,1.078e+05,1.481e+05
95.7,1.431e+04,3.244e+04,1.186e+05,1.654e+05
97.2,1.617e+04,3.429e+04,1.238e+05,1.742e+05
98.7,1.672e+04,3.354e+04,1.214e+05,1.716e+05
100.2,1.793e+04,3.443e+04,1.275e+05,1.799e+05
101.6,1.909e+04,3.443e+04,1.316e+05,1.851e+05
103.1,2.009e+04,3.302e+04,1.306e+05,1.837e+05
104.6,2.119e+04,3.179e+04,1.291e+05,1.821e+05
106.1,2.315e+04,3.187e+04,1.322e+05,1.872e+05
107.5,2.654e+04,3.510e+04,1.440e+05,2.057e+05
109.0,2.838e+04,3.624e+04,1.468e+05,2.114e+05
110.5,3.030e+04,3.828e+04,1.477e+05,2.162e+05
112.0,3.067e+04,3.888e+04,1.438e+05,2.133e+05
113.4,3.007e+04,3.926e+04,1.386e+05,2.079e+05
114.9,3.603e+04,5.171e+04,1.631e+05,2.508e+05
116.4,4.513e+04,7.172e+04,2.090e+05,3.258e+05
117.8,5.604e+04,9.628e+04,2.676e+05,4.199e+05
119.3,6.100e+04,1.114e+05,2.882e+05,4.605e+05
120.8,6.413e+04,1.257e+05,2.968e+05,4.867e+05
122.3,6.583e+04,1.356e+05,2.919e+05,4.934e+05
123.7,5.976e+04,1.316e+05,2.554e+05,4.468e+05
125.2,5.523e+04,1.105e+05,2.146e+05,3.804e+05
126.7,6.184e+04,6.745e+04,1.806e+05,3.099e+05
128.2,7.086e+04,5.597e+04,1.807e+05,3.075e+05
129.6,8.183e+04,4.798e+04,1.920e+05,3.218e+05
131.1,7.732e+04,3.552e+04,1.860e+05,2.989e+05
132.6,5.269e+04,2.435e+04,1.452e+05,2.223e+05
134.0,2.302e+04,1.196e+04,7.445e+04,1.094e+05
135.5,1.678e+04,9.391e+03,5.969e+04,8.586e+04
137.0,1.733e+04,9.823e+03,6.297e+04,9.012e+04
138.5,1.990e+04,1.117e+04,7.334e+04,1.044e+05
139.9,2.272e+04,1.300e+04,8.677e+04,1.225e+05
141.4,2.449e+04,1.475e+04,9.797e+04,1.372e+05
142.9,2.415e+04,1.493e+04,9.901e+04,1.381e+05
144.4,2.262e+04,1.464e+04,9.436e+04,1.316e+05
145.8,1.984e+04,1.384e+04,8.661e+04,1.203e+05
147.3,1.640e+04,1.298e+04,7.973e+04,1.091e+05
148.8,1.367e+04,1.211e+04,7.443e+04,1.002e+05
150.3,1.077e+04,1.075e+04,6.572e+04,8.724e+04
151.7,8.680e+03,9.855e+03,5.858e+04,7.711e+04
153.2,7.613e+03,9.659e+03,5.544e+04,7.271e+04
154.7,6.655e+03,9.182e+03,5.187e+04,6.771e+04
156.1,6.489e+03,9.201e+03,5.086e+04,6.655e+04
157.6,6.705e+03,9.607e+03,5.112e+04,6.743e+04
159.1,6.844e+03,9.818e+03,4.992e+04,6.658e+04
160.6,7.142e+03,1.006e+04,4.853e+04,6.573e+04
162.0,7.245e+03,1.003e+04,4.617e+04,6.345e+04
163.5,7.789e+03,1.021e+04,4.515e+04,6.316e+04
165.0,8.181e+03,1.051e+04,4.458e+04,6.328e+04
166.5,8.644e+03,1.084e+04,4.453e+04,6.401e+04
167.9,8.968e+03,1.082e+04,4.351e+04,6.330e+04
169.4,8.737e+03,1.033e+04,4.094e+04,6.000e+04
170.9,8.634e+03,9.946e+03,3.896e+04,5.754e+04
172.3,8.627e+03,9.551e+03,3.751e+04,5.568e+04
173.8,8.396e+03,9.036e+03,3.606e+04,5.350e+04
175.3,8.253e+03,8.559e+03,3.446e+04,5.127e+04
176.8,8.157e+03,8.126e+03,3.278e+04,4.906e+04
178.2,8.285e+03,7.803e+03,3.173e+04,4.782e+04
179.7,8.544e+03,7.678e+03,3.130e+04,4.752e+04
181.2,8.058e+03,7.061e+03,2.945e+04,4.457e+04
182.7,7.588e+03,6.577e+03,2.777e+04,4.194e+04
184.1,7.363e+03,6.247e+03,2.686e+04,4.047e+04
185.6,7.295e+03,6.008e+03,2.605e+04,3.936e+04
187.1,7.359e+03,5.778e+03,2.544e+04,3.858e+04
188.6,7.324e+03,5.448e+03,2.443e+04,3.720e+04
190.0,7.380e+03,5.275e+03,2.434e+04,3.700e+04
191.5,7.695e+03,5.372e+03,2.527e+04,3.834e+04
193.0,8.299e+03,5.528e+03,2.663e+04,4.045e+04
