freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.575e+02,4.052e+02,1.524e+01,5.780e+02
1.5,1.084e+02,2.371e+02,3.117e+01,3.767e+02
2.9,2.432e+01,2.051e+01,3.113e+01,7.595e+01
4.4,2.360e+01,2.174e+02,3.195e+01,2.730e+02
5.8,2.336e+01,1.027e+03,3.379e+01,1.084e+03
7.3,2.701e+01,1.836e+03,3.296e+01,1.896e+03
8.8,2.713e+01,2.782e+03,3.457e+01,2.843e+03
10.2,2.919e+01,4.076e+03,3.320e+01,4.138e+03
11.7,2.909e+01,5.872e+03,3.191e+01,5.933e+03
13.1,3.200e+01,8.177e+03,3.275e+01,8.242e+03
14.6,4.670e+01,1.104e+04,3.239e+01,1.112e+04
16.1,6.689e+01,1.496e+04,3.279e+01,1.506e+04
17.5,1.034e+02,2.015e+04,3.090e+01,2.028e+04
19.0,1.881e+02,2.719e+04,3.120e+01,2.741e+04
20.4,2.772e+02,3.549e+04,3.335e+01,3.581e+04
21.9,4.935e+02,4.969e+04,8.252e+01,5.026e+04
23.4,8.898e+02,6.760e+04,2.115e+02,6.870e+04
24.8,1.156e+03,8.133e+04,2.617e+02,8.275e+04
26.3,1.496e+03,9.898e+04,3.453e+02,1.008e+05
27.7,1.552e+03,9.968e+04,4.848e+02,1.017e+05
29.2,1.393e+03,1.021e+05,6.416e+02,1.041e+05
30.6,3.005e+03,1.614e+05,1.086e+03,1.655e+05
32.1,1.442e+04,3.362e+05,2.137e+03,3.527e+05
33.6,8.206e+04,8.091e+05,5.117e+03,8.963e+05
35.0,2.354e+05,1.377e+06,8.798e+03,1.621e+06
36.5,3.343e+05,1.312e+06,8.825e+03,1.655e+06
37.9,3.692e+05,9.405e+05,7.560e+03,1.317e+06
39.4,4.189e+05,6.527e+05,6.267e+03,1.078e+06
40.9,4.691e+05,4.690e+05,5.481e+03,9.436e+05
42.3,4.787e+05,3.324e+05,7.251e+03,8.183e+05
43.8,4.066e+05,2.263e+05,1.039e+04,6.433e+05
45.2,2.911e+05,1.604e+05,1.788e+04,4.693e+05
46.7,2.150e+05,1.361e+05,3.097e+04,3.821e+05
48.2,1.639e+05,1.160e+05,3.526e+04,3.152e+05
49.6,1.260e+05,9.504e+04,2.849e+04,2.496e+05
51.1,9.929e+04,8.224e+04,1.937e+04,2.009e+05
52.5,8.113e+04,7.294e+04,1.482e+04,1.689e+05
54.0,7.121e+04,5.836e+04,1.389e+04,1.435e+05
55.5,6.242e+04,4.499e+04,1.357e+04,1.210e+05
56.9,5.485e+04,3.697e+04,1.190e+04,1.037e+05
58.4,4.833e+04,3.257e+04,1.018e+04,9.108e+04
59.8,4.185e+04,3.092e+04,8.463e+03,8.123e+04
61.3,3.697e+04,3.214e+04,7.108e+03,7.622e+04
62.8,3.315e+04,3.564e+04,6.085e+03,7.488e+04
64.2,2.894e+04,4.147e+04,4.500e+03,7.491e+04
65.7,2.531e+04,4.981e+04,3.068e+03,7.819e+04
67.1,2.276e+04,5.956e+04,2.092e+03,8.441e+04
68.6,1.949e+04,6.964e+04,1.434e+03,9.056e+04
70.1,1.528e+04,7.864e+04,9.208e+02,9.485e+04
71.5,1.193e+04,8.519e+04,5.662e+02,9.768e+04
73.0,1.047e+04,8.882e+04,7.055e+02,1.000e+05
74.4,1.005e+04,8.979e+04,9.371e+02,1.008e+05
75.9,9.117e+03,9.067e+04,8.199e+02,1.006e+05
77.3,7.205e+03,8.180e+04,4.659e+02,8.947e+04
78.8,5.465e+03,6.312e+04,4.018e+02,6.899e+04
80.3,4.258e+03,4.487e+04,6.199e+02,4.974e+04
81.7,3.441e+03,3.235e+04,6.992e+02,3.649e+04
83.2,2.944e+03,2.334e+04,7.060e+02,2.699e+04
84.6,2.638e+03,1.724e+04,1.139e+03,2.102e+04
86.1,2.483e+03,1.410e+04,2.095e+03,1.868e+04
87.6,2.415e+03,1.258e+04,3.143e+03,1.814e+04
89.0,2.487e+03,1.053e+04,4.165e+03,1.718e+04
90.5,2.689e+03,8.790e+03,6.407e+03,1.789e+04
91.9,2.942e+03,8.045e+03,1.030e+04,2.128e+04
93.4,3.364e+03,6.892e+03,1.363e+04,2.389e+04
94.9,3.211e+03,4.782e+03,1.368e+04,2.168e+04
96.3,3.092e+03,3.008e+03,1.192e+04,1.802e+04
97.8,3.119e+03,2.148e+03,9.513e+03,1.478e+04
99.2,3.401e+03,2.467e+03,6.899e+03,1.277e+04
100.7,3.736e+03,3.365e+03,5.631e+03,1.273e+04
102.2,3.927e+03,3.478e+03,5.192e+03,1.260e+04
103.6,4.324e+03,3.653e+03,4.796e+03,1.277e+04
105.1,4.750e+03,4.193e+03,4.236e+03,1.318e+04
106.5,5.558e+03,5.617e+03,3.510e+03,1.468e+04
108.0,6.521e+03,7.936e+03,2.811e+03,1.727e+04
109.5,7.099e+03,1.026e+04,2.418e+03,1.978e+04
110.9,7.733e+03,1.214e+04,2.173e+03,2.205e+04
112.4,7.717e+03,1.225e+04,1.878e+03,2.184e+04
113.8,7.571e+03,1.191e+04,1.671e+03,2.116e+04
115.3,7.948e+03,1.229e+04,1.588e+03,2.183e+04
116.8,8.407e+03,1.246e+04,1.561e+03,2.243e+04
118.2,8.703e+03,1.221e+04,1.409e+03,2.232e+04
119.7,9.367e+03,1.234e+04,1.309e+03,2.302e+04
121.1,9.863e+03,1.240e+04,1.349e+03,2.361e+04
122.6,9.783e+03,1.188e+04,1.420e+03,2.308e+04
124.0,9.383e+03,1.120e+04,1.411e+03,2.200e+04
125.5,8.804e+03,1.075e+04,1.935e+03,2.149e+04
127.0,8.801e+03,1.588e+04,1.161e+04,3.629e+04
128.4,1.066e+04,3.626e+04,4.413e+04,9.105e+04
129.9,8.810e+03,2.204e+04,1.969e+04,5.054e+04
131.3,6.865e+03,7.891e+03,2.284e+03,1.704e+04
132.8,4.061e+03,4.117e+03,1.711e+03,9.888e+03
134.3,1.141e+03,5.288e+02,1.277e+03,2.948e+03
135.7,7.292e+02,8.955e+01,1.490e+03,2.308e+03
137.2,6.029e+02,1.199e+02,1.780e+03,2.503e+03
138.6,3.985e+02,1.548e+02,1.886e+03,2.439e+03
140.1,3.180e+02,1.976e+02,2.023e+03,2.538e+03
141.6,3.420e+02,2.756e+02,2.242e+03,2.860e+03
143.0,4.865e+02,3.373e+02,2.628e+03,3.452e+03
144.5,6.682e+02,3.634e+02,3.229e+03,4.261e+03
145.9,7.246e+02,3.380e+02,3.537e+03,4.599e+03
147.4,6.571e+02,2.838e+02,3.412e+03,4.353e+03
