freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.660e+01,4.437e+01,5.057e+02,5.767e+02
1.5,4.864e+01,3.984e+01,3.075e+02,3.959e+02
3.0,4.858e+01,2.037e+01,4.122e+01,1.102e+02
4.5,4.882e+01,1.999e+01,2.531e+02,3.219e+02
5.9,4.964e+01,2.058e+01,1.057e+03,1.127e+03
7.4,4.850e+01,2.270e+01,1.837e+03,1.909e+03
8.9,5.070e+01,2.306e+01,2.652e+03,2.726e+03
10.4,4.866e+01,2.323e+01,3.679e+03,3.751e+03
11.9,5.369e+01,2.499e+01,5.019e+03,5.097e+03
13.4,5.641e+01,2.895e+01,6.948e+03,7.033e+03
14.9,5.715e+01,3.715e+01,9.321e+03,9.415e+03
16.3,5.728e+01,4.630e+01,1.166e+04,1.176e+04
17.8,6.373e+01,5.810e+01,1.436e+04,1.448e+04
19.3,6.967e+01,8.058e+01,1.702e+04,1.717e+04
20.8,6.886e+01,1.075e+02,2.035e+04,2.053e+04
22.3,7.827e+01,1.455e+02,2.407e+04,2.430e+04
23.8,8.903e+01,1.968e+02,2.807e+04,2.836e+04
25.3,1.045e+02,3.172e+02,3.475e+04,3.517e+04
26.7,1.147e+02,5.347e+02,4.370e+04,4.435e+04
28.2,1.213e+02,8.809e+02,5.429e+04,5.530e+04
29.7,1.235e+02,1.323e+03,7.133e+04,7.278e+04
31.2,1.591e+02,1.574e+03,8.687e+04,8.860e+04
32.7,2.280e+02,2.323e+03,1.022e+05,1.047e+05
34.2,2.354e+02,4.736e+03,1.235e+05,1.285e+05
35.7,1.667e+02,9.035e+03,1.554e+05,1.646e+05
37.1,1.301e+02,1.450e+04,2.032e+05,2.178e+05
38.6,1.897e+02,2.412e+04,2.755e+05,2.998e+05
40.1,1.055e+03,4.117e+04,3.779e+05,4.201e+05
41.6,5.303e+03,6.870e+04,4.753e+05,5.493e+05
43.1,1.301e+04,8.625e+04,5.782e+05,6.775e+05
44.6,2.321e+04,9.534e+04,7.408e+05,8.593e+05
46.1,3.185e+04,1.001e+05,9.949e+05,1.127e+06
47.6,3.668e+04,9.580e+04,1.206e+06,1.338e+06
49.0,4.350e+04,8.035e+04,1.282e+06,1.406e+06
50.5,4.627e+04,6.126e+04,1.329e+06,1.437e+06
52.0,4.202e+04,4.386e+04,1.217e+06,1.303e+06
53.5,3.536e+04,3.096e+04,1.014e+06,1.080e+06
55.0,2.747e+04,2.111e+04,7.884e+05,8.369e+05
56.5,2.111e+04,1.562e+04,5.977e+05,6.344e+05
58.0,1.733e+04,1.359e+04,4.572e+05,4.881e+05
59.4,1.554e+04,1.212e+04,3.440e+05,3.716e+05
60.9,1.509e+04,1.033e+04,2.607e+05,2.861e+05
