freq,psd_x,psd_y,psd_z,psd_xyz
168.6,8.470e+03,9.314e+03,4.780e+04,6.558e+04
170.1,8.393e+03,8.881e+03,4.562e+04,6.290e+04
171.6,8.284e+03,8.678e+03,4.333e+04,6.029e+04
173.0,7.959e+03,8.384e+03,4.077e+04,5.711e+04
174.5,7.608e+03,8.143e+03,3.852e+04,5.428e+04
176.0,7.528e+03,7.987e+03,3.711e+04,5.262e+04
177.5,7.729e+03,7.946e+03,3.642e+04,5.209e+04
179.0,7.989e+03,7.999e+03,3.598e+04,5.197e+04
180.4,7.938e+03,7.553e+03,3.472e+04,5.021e+04
181.9,7.546e+03,6.889e+03,3.300e+04,4.743e+04
183.4,6.984e+03,6.225e+03,3.073e+04,4.394e+04
184.9,6.360e+03,5.483e+03,2.831e+04,4.016e+04
186.4,5.830e+03,4.895e+03,2.586e+04,3.658e+04
187.8,5.532e+03,4.532e+03,2.388e+04,3.395e+04
189.3,5.376e+03,4.163e+03,2.231e+04,3.185e+04
190.8,5.242e+03,3.947e+03,2.096e+04,3.015e+04
192.3,5.250e+03,4.020e+03,2.014e+04,2.941e+04
193.7,6.121e+03,4.609e+03,2.156e+04,3.229e+04
195.2,6.750e+03,4.913e+03,2.193e+04,3.359e+04
196.7,7.088e+03,5.053e+03,2.155e+04,3.369e+04
198.2,7.576e+03,5.352e+03,2.183e+04,3.476e+04
199.7,7.953e+03,5.739e+03,2.236e+04,3.605e+04
