freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.802e+01,2.936e+01,6.869e+02,8.043e+02
1.5,2.682e+02,3.815e+01,4.151e+02,7.214e+02
2.9,3.317e+02,2.782e+01,4.463e+01,4.042e+02
4.4,3.791e+02,2.561e+01,2.448e+02,6.495e+02
5.8,3.271e+02,2.646e+01,1.082e+03,1.436e+03
7.3,2.353e+02,2.826e+01,1.880e+03,2.143e+03
8.8,2.525e+02,2.688e+01,2.663e+03,2.942e+03
10.2,2.647e+02,2.916e+01,3.704e+03,3.998e+03
11.7,2.409e+02,2.820e+01,5.028e+03,5.297e+03
13.1,2.311e+02,2.877e+01,6.731e+03,6.991e+03
14.6,2.594e+02,3.183e+01,8.840e+03,9.132e+03
16.1,2.529e+02,3.258e+01,1.125e+04,1.154e+04
17.5,3.071e+02,3.491e+01,1.395e+04,1.430e+04
19.0,3.704e+02,3.836e+01,1.728e+04,1.769e+04
20.4,3.371e+02,4.679e+01,2.160e+04,2.199e+04
21.9,2.698e+02,5.489e+01,2.464e+04,2.496e+04
23.4,2.737e+02,6.409e+01,2.569e+04,2.603e+04
24.8,2.956e+02,1.006e+02,2.870e+04,2.910e+04
26.3,2.981e+02,1.766e+02,3.509e+04,3.556e+04
27.7,2.733e+02,2.196e+02,4.235e+04,4.285e+04
29.2,2.399e+02,1.512e+02,5.292e+04,5.331e+04
30.7,2.561e+02,1.460e+02,6.637e+04,6.677e+04
32.1,2.784e+02,2.491e+02,7.977e+04,8.030e+04
33.6,2.814e+02,4.884e+02,9.740e+04,9.817e+04
35.0,2.840e+02,9.873e+02,1.209e+05,1.222e+05
36.5,2.879e+02,2.345e+03,1.485e+05,1.512e+05
38.0,3.744e+02,4.633e+03,1.888e+05,1.938e+05
39.4,9.578e+02,7.449e+03,2.489e+05,2.573e+05
40.9,2.933e+03,9.759e+03,3.410e+05,3.536e+05
42.3,6.724e+03,9.252e+03,4.817e+05,4.977e+05
43.8,1.128e+04,5.566e+03,6.767e+05,6.936e+05
45.3,1.350e+04,3.573e+03,9.734e+05,9.905e+05
46.7,1.441e+04,1.213e+04,1.641e+06,1.667e+06
48.2,1.144e+04,2.406e+04,2.574e+06,2.610e+06
49.6,6.423e+03,2.643e+04,2.985e+06,3.018e+06
51.1,4.755e+03,2.256e+04,2.617e+06,2.644e+06
52.6,4.732e+03,1.863e+04,1.990e+06,2.013e+06
54.0,4.706e+03,1.711e+04,1.470e+06,1.492e+06
55.5,4.128e+03,1.512e+04,1.073e+06,1.092e+06
56.9,3.560e+03,1.283e+04,7.864e+05,8.028e+05
58.4,3.049e+03,1.069e+04,5.960e+05,6.097e+05
59.9,2.504e+03,8.303e+03,4.475e+05,4.583e+05
61.3,2.141e+03,6.294e+03,3.486e+05,3.570e+05
