freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.108e+02,5.586e+01,6.789e+02,1.046e+03
1.5,1.646e+03,7.854e+01,4.183e+02,2.142e+03
2.9,1.266e+03,8.949e+01,5.927e+01,1.415e+03
4.4,1.221e+03,9.975e+01,2.616e+02,1.582e+03
5.8,1.356e+03,8.304e+01,1.102e+03,2.542e+03
7.3,1.258e+03,7.735e+01,1.857e+03,3.192e+03
8.7,1.389e+03,7.297e+01,2.710e+03,4.172e+03
10.2,1.393e+03,8.489e+01,3.787e+03,5.265e+03
11.6,1.418e+03,9.668e+01,5.099e+03,6.613e+03
13.1,1.379e+03,8.974e+01,6.903e+03,8.372e+03
14.5,1.293e+03,9.157e+01,9.250e+03,1.063e+04
16.0,1.277e+03,9.768e+01,1.168e+04,1.306e+04
17.5,1.325e+03,1.016e+02,1.470e+04,1.613e+04
18.9,1.358e+03,1.320e+02,1.938e+04,2.087e+04
20.4,1.395e+03,1.772e+02,2.501e+04,2.659e+04
21.8,1.349e+03,1.898e+02,2.831e+04,2.985e+04
23.3,1.242e+03,1.932e+02,3.249e+04,3.392e+04
24.7,1.292e+03,2.969e+02,4.050e+04,4.209e+04
26.2,1.409e+03,7.305e+02,5.027e+04,5.241e+04
27.6,1.495e+03,1.161e+03,5.985e+04,6.251e+04
29.1,1.536e+03,1.554e+03,7.406e+04,7.715e+04
30.6,1.809e+03,3.928e+03,1.026e+05,1.083e+05
32.0,3.204e+03,1.094e+04,1.463e+05,1.604e+05
33.5,6.278e+03,2.393e+04,2.165e+05,2.467e+05
34.9,9.690e+03,3.652e+04,3.630e+05,4.092e+05
36.4,1.239e+04,4.658e+04,7.065e+05,7.655e+05
37.8,1.242e+04,5.220e+04,1.049e+06,1.114e+06
39.3,1.196e+04,5.348e+04,1.086e+06,1.151e+06
40.7,1.129e+04,5.090e+04,9.417e+05,1.004e+06
42.2,1.127e+04,4.410e+04,7.624e+05,8.178e+05
43.6,1.155e+04,3.621e+04,6.121e+05,6.598e+05
45.1,1.080e+04,2.754e+04,4.957e+05,5.340e+05
46.6,1.028e+04,2.333e+04,4.344e+05,4.680e+05
48.0,1.244e+04,2.561e+04,3.967e+05,4.347e+05
49.5,1.693e+04,3.168e+04,3.877e+05,4.363e+05
50.9,2.083e+04,3.213e+04,3.351e+05,3.880e+05
52.4,2.570e+04,3.222e+04,3.215e+05,3.794e+05
53.8,2.731e+04,2.924e+04,3.076e+05,3.642e+05
55.3,2.786e+04,2.561e+04,2.815e+05,3.350e+05
56.7,2.861e+04,2.369e+04,2.582e+05,3.105e+05
58.2,2.724e+04,2.234e+04,2.350e+05,2.846e+05
59.7,2.465e+04,2.194e+04,2.135e+05,2.601e+05
61.1,2.270e+04,2.283e+04,1.979e+05,2.434e+05
62.6,2.106e+04,2.521e+04,1.841e+05,2.304e+05
64.0,1.968e+04,2.789e+04,1.702e+05,2.178e+05
65.5,1.828e+04,3.111e+04,1.577e+05,2.071e+05
66.9,1.740e+04,3.645e+04,1.506e+05,2.045e+05
68.4,1.650e+04,4.095e+04,1.450e+05,2.025e+05
69.8,1.599e+04,4.251e+04,1.415e+05,2.000e+05
71.3,1.544e+04,4.328e+04,1.397e+05,1.984e+05
72.7,1.441e+04,4.771e+04,1.373e+05,1.995e+05
74.2,1.394e+04,5.645e+04,1.351e+05,2.055e+05
75.7,1.337e+04,6.284e+04,1.275e+05,2.037e+05
