freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.211e+02,1.442e+02,1.569e+01,2.809e+02
1.5,7.856e+01,9.251e+01,3.075e+01,2.018e+02
2.9,1.415e+01,1.725e+01,2.846e+01,5.986e+01
4.4,1.641e+01,2.039e+02,2.956e+01,2.499e+02
5.8,1.700e+01,1.007e+03,3.090e+01,1.055e+03
7.3,1.765e+01,1.820e+03,3.140e+01,1.869e+03
8.7,1.585e+01,2.779e+03,2.962e+01,2.824e+03
10.2,1.741e+01,4.081e+03,2.849e+01,4.127e+03
11.6,3.285e+01,6.201e+03,2.959e+01,6.263e+03
13.1,9.527e+01,9.326e+03,2.943e+01,9.450e+03
14.5,1.416e+02,1.194e+04,3.044e+01,1.212e+04
16.0,1.084e+02,1.487e+04,3.175e+01,1.502e+04
17.4,3.245e+02,2.177e+04,3.252e+01,2.213e+04
18.9,2.389e+03,3.794e+04,7.299e+01,4.040e+04
20.4,6.848e+03,5.450e+04,2.053e+02,6.155e+04
21.8,7.491e+03,4.600e+04,3.399e+02,5.383e+04
23.3,6.478e+03,3.981e+04,3.689e+02,4.666e+04
24.7,9.330e+03,4.624e+04,3.477e+02,5.592e+04
26.2,1.660e+04,4.947e+04,3.893e+02,6.647e+04
27.6,2.446e+04,4.650e+04,5.225e+02,7.149e+04
29.1,2.753e+04,4.043e+04,1.225e+03,6.918e+04
30.5,2.372e+04,3.559e+04,2.545e+03,6.186e+04
32.0,2.549e+04,3.726e+04,4.237e+03,6.699e+04
33.4,3.820e+04,4.365e+04,6.624e+03,8.847e+04
34.9,6.602e+04,5.746e+04,1.143e+04,1.349e+05
36.3,1.316e+05,7.325e+04,1.796e+04,2.228e+05
37.8,2.539e+05,1.024e+05,2.604e+04,3.824e+05
39.3,3.377e+05,1.328e+05,3.174e+04,5.023e+05
40.7,3.008e+05,1.250e+05,2.277e+04,4.486e+05
42.2,2.365e+05,9.548e+04,9.641e+03,3.416e+05
43.6,1.906e+05,7.237e+04,5.228e+03,2.681e+05
45.1,1.606e+05,5.556e+04,3.315e+03,2.194e+05
46.5,1.400e+05,4.241e+04,2.906e+03,1.853e+05
48.0,1.149e+05,3.517e+04,4.493e+03,1.545e+05
49.4,9.028e+04,3.409e+04,5.956e+03,1.303e+05
50.9,7.021e+04,3.575e+04,7.317e+03,1.133e+05
52.3,5.697e+04,3.501e+04,4.442e+03,9.642e+04
53.8,5.305e+04,3.847e+04,2.714e+03,9.423e+04
55.3,4.779e+04,4.391e+04,2.837e+03,9.453e+04
56.7,4.220e+04,4.537e+04,2.816e+03,9.039e+04
58.2,3.756e+04,4.470e+04,2.615e+03,8.488e+04
59.6,3.278e+04,4.305e+04,2.300e+03,7.814e+04
61.1,2.878e+04,4.263e+04,1.967e+03,7.338e+04
62.5,2.507e+04,4.311e+04,1.596e+03,6.978e+04
64.0,1.966e+04,4.540e+04,1.077e+03,6.614e+04
65.4,1.421e+04,4.743e+04,4.499e+02,6.209e+04
66.9,1.135e+04,4.766e+04,1.335e+02,5.915e+04
68.3,1.000e+04,4.462e+04,2.239e+02,5.485e+04
69.8,9.487e+03,3.772e+04,7.776e+02,4.799e+04
71.2,9.493e+03,2.966e+04,1.113e+03,4.027e+04
72.7,9.292e+03,2.475e+04,1.097e+03,3.513e+04
74.2,8.832e+03,2.188e+04,8.831e+02,3.159e+04
75.6,8.643e+03,2.012e+04,8.726e+02,2.964e+04
77.1,8.063e+03,1.801e+04,7.137e+02,2.678e+04
78.5,7.024e+03,1.536e+04,5.304e+02,2.291e+04
80.0,6.200e+03,1.428e+04,3.794e+02,2.086e+04
81.4,5.377e+03,1.293e+04,3.294e+02,1.864e+04
82.9,4.437e+03,1.002e+04,4.224e+02,1.488e+04
84.3,3.684e+03,5.794e+03,5.967e+02,1.007e+04
85.8,3.408e+03,2.932e+03,1.395e+03,7.735e+03
87.2,3.044e+03,1.443e+03,2.962e+03,7.449e+03
88.7,3.198e+03,1.251e+03,5.072e+03,9.520e+03
90.1,3.685e+03,1.495e+03,6.597e+03,1.178e+04
91.6,4.255e+03,1.668e+03,6.989e+03,1.291e+04
93.1,4.825e+03,1.560e+03,7.150e+03,1.353e+04
94.5,5.559e+03,1.479e+03,8.000e+03,1.504e+04
96.0,6.396e+03,2.379e+03,8.928e+03,1.770e+04
