freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.393e+01,8.609e+00,4.742e+02,4.968e+02
1.5,4.415e+01,1.836e+01,2.806e+02,3.431e+02
3.0,5.518e+01,1.904e+01,3.131e+01,1.055e+02
4.4,4.717e+01,1.785e+01,2.346e+02,2.996e+02
5.9,4.525e+01,1.890e+01,1.065e+03,1.130e+03
7.4,5.585e+01,1.947e+01,1.841e+03,1.916e+03
8.9,5.045e+01,1.652e+01,2.665e+03,2.732e+03
10.3,4.230e+01,1.762e+01,3.615e+03,3.675e+03
11.8,5.278e+01,1.781e+01,4.775e+03,4.846e+03
13.3,5.011e+01,1.751e+01,6.197e+03,6.265e+03
14.8,4.723e+01,1.765e+01,8.128e+03,8.193e+03
16.2,4.647e+01,1.736e+01,1.042e+04,1.048e+04
17.7,5.876e+01,1.881e+01,1.299e+04,1.306e+04
19.2,5.081e+01,1.830e+01,1.607e+04,1.614e+04
20.7,4.693e+01,1.795e+01,2.001e+04,2.007e+04
22.1,5.841e+01,2.099e+01,2.421e+04,2.429e+04
23.6,7.165e+01,2.102e+01,2.551e+04,2.560e+04
25.1,7.873e+01,2.453e+01,2.695e+04,2.705e+04
26.6,9.338e+01,2.490e+01,3.163e+04,3.175e+04
28.0,9.045e+01,2.023e+01,3.789e+04,3.800e+04
29.5,1.051e+02,2.470e+01,4.658e+04,4.671e+04
31.0,1.475e+02,5.778e+01,6.084e+04,6.105e+04
32.5,2.334e+02,9.767e+01,7.720e+04,7.753e+04
33.9,3.708e+02,1.185e+02,9.795e+04,9.844e+04
35.4,5.581e+02,1.062e+02,1.273e+05,1.279e+05
36.9,7.995e+02,1.060e+02,1.682e+05,1.691e+05
38.4,1.210e+03,3.697e+02,2.229e+05,2.245e+05
39.8,1.166e+03,3.025e+03,2.828e+05,2.870e+05
41.3,5.090e+02,8.856e+03,3.595e+05,3.689e+05
42.8,7.786e+02,1.445e+04,4.673e+05,4.825e+05
44.3,2.625e+03,1.960e+04,5.959e+05,6.181e+05
45.7,6.333e+03,2.152e+04,6.740e+05,7.018e+05
47.2,1.169e+04,1.680e+04,9.361e+05,9.646e+05
48.7,1.769e+04,1.303e+04,1.424e+06,1.455e+06
50.2,2.143e+04,1.193e+04,1.470e+06,1.503e+06
51.6,2.154e+04,9.816e+03,1.206e+06,1.237e+06
53.1,2.402e+04,8.178e+03,9.513e+05,9.835e+05
54.6,2.262e+04,6.670e+03,7.184e+05,7.476e+05
56.1,1.691e+04,4.961e+03,5.281e+05,5.500e+05
57.5,1.341e+04,4.384e+03,4.059e+05,4.237e+05
59.0,1.112e+04,3.939e+03,3.242e+05,3.393e+05
60.5,1.004e+04,3.539e+03,2.697e+05,2.833e+05
62.0,9.188e+03,3.637e+03,2.335e+05,2.463e+05
63.4,7.844e+03,4.214e+03,2.030e+05,2.151e+05
64.9,6.283e+03,4.694e+03,1.717e+05,1.827e+05
