freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.349e+02,2.326e+02,8.229e+00,3.757e+02
1.5,9.022e+01,1.472e+02,2.605e+01,2.635e+02
3.0,1.829e+01,2.254e+01,3.189e+01,7.273e+01
4.5,1.789e+01,2.465e+02,3.196e+01,2.964e+02
5.9,1.975e+01,1.101e+03,3.119e+01,1.152e+03
7.4,2.082e+01,1.923e+03,3.157e+01,1.975e+03
8.9,1.950e+01,2.986e+03,3.301e+01,3.039e+03
10.4,1.868e+01,4.265e+03,3.479e+01,4.318e+03
11.9,2.161e+01,6.060e+03,3.476e+01,6.116e+03
13.4,2.960e+01,8.569e+03,3.507e+01,8.634e+03
14.9,3.254e+01,1.158e+04,3.954e+01,1.165e+04
16.3,4.871e+01,1.554e+04,4.283e+01,1.563e+04
17.8,9.444e+01,2.110e+04,4.475e+01,2.124e+04
19.3,1.871e+02,2.910e+04,3.986e+01,2.933e+04
20.8,3.172e+02,3.958e+04,4.795e+01,3.995e+04
22.3,4.886e+02,5.269e+04,7.942e+01,5.325e+04
23.8,1.422e+03,7.943e+04,2.006e+02,8.105e+04
25.3,2.164e+03,9.711e+04,4.261e+02,9.970e+04
26.7,2.350e+03,1.153e+05,5.436e+02,1.181e+05
28.2,3.023e+03,1.381e+05,9.836e+02,1.421e+05
29.7,3.099e+03,1.468e+05,2.002e+03,1.519e+05
31.2,1.102e+04,2.151e+05,5.497e+03,2.316e+05
32.7,5.768e+04,3.137e+05,8.906e+03,3.803e+05
34.2,1.247e+05,2.990e+05,6.254e+03,4.300e+05
35.7,1.905e+05,2.638e+05,3.687e+03,4.581e+05
37.1,2.929e+05,2.188e+05,3.155e+03,5.148e+05
38.6,3.893e+05,1.771e+05,2.827e+03,5.693e+05
40.1,3.740e+05,1.411e+05,3.592e+03,5.187e+05
41.6,3.217e+05,1.193e+05,4.731e+03,4.458e+05
43.1,2.568e+05,1.029e+05,6.003e+03,3.657e+05
44.6,1.972e+05,8.872e+04,5.620e+03,2.916e+05
46.1,1.507e+05,7.400e+04,4.526e+03,2.292e+05
47.5,1.148e+05,5.928e+04,3.562e+03,1.777e+05
49.0,9.245e+04,4.744e+04,2.200e+03,1.421e+05
50.5,7.300e+04,4.309e+04,1.306e+03,1.174e+05
52.0,5.746e+04,3.802e+04,1.498e+03,9.699e+04
53.5,5.121e+04,3.096e+04,2.131e+03,8.429e+04
55.0,4.387e+04,3.015e+04,3.408e+03,7.743e+04
56.5,3.563e+04,3.195e+04,3.484e+03,7.106e+04
57.9,2.870e+04,3.236e+04,3.040e+03,6.410e+04
59.4,2.371e+04,3.282e+04,3.220e+03,5.975e+04
60.9,2.146e+04,3.503e+04,2.675e+03,5.917e+04
62.4,1.947e+04,3.608e+04,2.139e+03,5.769e+04
63.9,1.714e+04,3.620e+04,1.646e+03,5.498e+04
65.4,1.603e+04,3.769e+04,1.119e+03,5.483e+04
66.9,1.645e+04,4.010e+04,1.109e+03,5.766e+04
68.3,1.582e+04,4.201e+04,1.241e+03,5.907e+04
69.8,1.434e+04,4.524e+04,1.357e+03,6.094e+04
71.3,1.234e+04,4.911e+04,1.414e+03,6.287e+04
72.8,1.113e+04,5.524e+04,1.681e+03,6.805e+04
74.3,1.099e+04,6.302e+04,2.059e+03,7.608e+04
75.8,1.023e+04,6.508e+04,2.240e+03,7.755e+04
77.3,8.342e+03,6.292e+04,2.134e+03,7.340e+04
78.7,6.105e+03,5.211e+04,1.666e+03,5.988e+04
80.2,3.897e+03,3.611e+04,1.490e+03,4.150e+04
81.7,2.075e+03,2.316e+04,1.667e+03,2.690e+04
83.2,1.075e+03,1.427e+04,2.251e+03,1.760e+04
84.7,5.903e+02,8.353e+03,3.134e+03,1.208e+04
86.2,5.603e+02,4.240e+03,4.251e+03,9.051e+03
87.7,1.021e+03,1.738e+03,4.982e+03,7.741e+03
89.1,1.696e+03,8.781e+02,5.101e+03,7.675e+03
90.6,2.275e+03,1.076e+03,5.082e+03,8.433e+03
92.1,2.571e+03,1.759e+03,4.694e+03,9.024e+03
93.6,2.846e+03,2.896e+03,4.408e+03,1.015e+04
95.1,3.232e+03,4.053e+03,4.059e+03,1.134e+04
96.6,3.561e+03,4.927e+03,2.970e+03,1.146e+04
98.1,3.746e+03,5.625e+03,1.829e+03,1.120e+04
99.5,3.707e+03,6.364e+03,1.233e+03,1.130e+04
101.0,3.679e+03,6.804e+03,8.335e+02,1.132e+04
102.5,3.612e+03,6.942e+03,5.871e+02,1.114e+04
104.0,3.582e+03,6.772e+03,4.806e+02,1.083e+04
105.5,3.488e+03,6.320e+03,4.579e+02,1.027e+04
107.0,3.567e+03,5.756e+03,5.855e+02,9.908e+03
108.5,3.817e+03,5.292e+03,8.292e+02,9.938e+03
109.9,4.193e+03,5.656e+03,1.138e+03,1.099e+04
111.4,4.877e+03,6.789e+03,1.624e+03,1.329e+04
112.9,5.646e+03,8.001e+03,2.156e+03,1.580e+04
114.4,6.441e+03,9.617e+03,2.541e+03,1.860e+04
115.9,7.036e+03,1.078e+04,2.890e+03,2.071e+04
117.4,7.313e+03,1.126e+04,3.056e+03,2.163e+04
118.9,8.801e+03,9.653e+03,5.010e+03,2.346e+04
120.3,1.297e+04,6.040e+03,1.129e+04,3.030e+04
121.8,1.283e+04,4.901e+03,1.196e+04,2.968e+04
123.3,8.589e+03,8.242e+03,7.023e+03,2.385e+04
124.8,6.279e+03,1.148e+04,3.635e+03,2.139e+04
126.3,5.784e+03,1.103e+04,3.175e+03,1.999e+04
127.8,5.465e+03,1.248e+04,2.904e+03,2.085e+04
129.3,5.403e+03,1.423e+04,2.286e+03,2.192e+04
130.7,5.061e+03,1.462e+04,1.717e+03,2.140e+04
132.2,3.875e+03,1.168e+04,1.355e+03,1.691e+04
133.7,1.288e+03,3.111e+03,7.369e+02,5.136e+03
135.2,4.148e+02,2.233e+02,6.042e+02,1.242e+03
136.7,3.480e+02,1.799e+02,5.597e+02,1.088e+03
138.2,2.759e+02,1.623e+02,4.313e+02,8.694e+02
139.7,2.026e+02,1.496e+02,3.899e+02,7.421e+02
141.1,1.776e+02,1.706e+02,4.771e+02,8.252e+02
142.6,2.054e+02,2.117e+02,6.208e+02,1.038e+03
144.1,2.150e+02,2.282e+02,6.344e+02,1.078e+03
145.6,2.976e+02,2.671e+02,9.540e+02,1.519e+03
147.1,3.175e+02,3.041e+02,1.060e+03,1.682e+03
148.6,3.019e+02,2.996e+02,9.145e+02,1.516e+03
150.1,2.986e+02,2.967e+02,8.956e+02,1.491e+03
151.5,2.692e+02,2.736e+02,7.915e+02,1.334e+03
153.0,2.522e+02,2.857e+02,7.239e+02,1.262e+03
154.5,2.521e+02,3.668e+02,6.803e+02,1.299e+03
156.0,2.134e+02,3.886e+02,4.683e+02,1.070e+03
157.5,2.065e+02,3.659e+02,3.614e+02,9.338e+02
159.0,2.276e+02,4.080e+02,3.167e+02,9.523e+02
160.5,2.455e+02,4.628e+02,3.211e+02,1.029e+03
161.9,2.464e+02,5.023e+02,3.600e+02,1.109e+03
163.4,2.574e+02,5.508e+02,3.378e+02,1.146e+03
164.9,2.967e+02,6.252e+02,3.243e+02,1.246e+03
166.4,3.220e+02,6.843e+02,3.417e+02,1.348e+03
167.9,3.089e+02,6.674e+02,3.131e+02,1.289e+03
169.4,3.236e+02,6.609e+02,3.289e+02,1.313e+03
170.9,3.331e+02,6.696e+02,3.469e+02,1.350e+03
172.3,3.554e+02,6.761e+02,3.610e+02,1.392e+03
173.8,3.839e+02,6.857e+02,3.963e+02,1.466e+03
175.3,3.947e+02,7.009e+02,4.280e+02,1.524e+03
176.8,4.301e+02,7.427e+02,4.456e+02,1.618e+03
178.3,4.945e+02,8.892e+02,4.424e+02,1.826e+03
179.8,5.164e+02,1.047e+03,4.499e+02,2.013e+03
181.3,5.504e+02,1.114e+03,4.798e+02,2.144e+03
182.7,6.620e+02,1.244e+03,5.376e+02,2.444e+03
184.2,6.721e+02,1.262e+03,5.720e+02,2.506e+03
185.7,6.758e+02,1.293e+03,5.474e+02,2.516e+03
187.2,8.092e+02,1.478e+03,5.552e+02,2.843e+03
188.7,8.697e+02,1.471e+03,5.516e+02,2.892e+03
190.2,8.719e+02,1.390e+03,5.883e+02,2.851e+03
191.7,8.092e+02,1.194e+03,6.107e+02,2.613e+03
193.1,7.918e+02,1.095e+03,6.041e+02,2.491e+03
194.6,7.875e+02,1.167e+03,5.764e+02,2.531e+03
