freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.911e+01,4.797e+01,5.167e+02,6.138e+02
1.5,1.150e+02,4.999e+01,3.110e+02,4.760e+02
3.0,1.311e+02,2.456e+01,3.916e+01,1.949e+02
4.5,1.184e+02,2.803e+01,2.753e+02,4.217e+02
5.9,1.397e+02,2.883e+01,1.169e+03,1.338e+03
7.4,1.436e+02,2.903e+01,2.011e+03,2.184e+03
8.9,1.476e+02,2.904e+01,2.878e+03,3.055e+03
10.4,1.483e+02,2.895e+01,3.975e+03,4.152e+03
11.9,1.269e+02,2.822e+01,5.332e+03,5.487e+03
13.4,1.186e+02,3.315e+01,7.168e+03,7.320e+03
14.9,1.222e+02,3.495e+01,9.759e+03,9.916e+03
16.3,1.300e+02,4.295e+01,1.297e+04,1.314e+04
17.8,1.346e+02,5.667e+01,1.622e+04,1.641e+04
19.3,1.441e+02,7.062e+01,1.997e+04,2.018e+04
20.8,1.481e+02,8.650e+01,2.494e+04,2.518e+04
22.3,1.671e+02,1.098e+02,2.871e+04,2.899e+04
23.8,1.751e+02,1.111e+02,3.051e+04,3.080e+04
25.3,1.899e+02,1.975e+02,3.633e+04,3.671e+04
26.8,2.015e+02,3.725e+02,4.738e+04,4.796e+04
28.2,2.751e+02,8.117e+02,6.394e+04,6.503e+04
29.7,6.333e+02,2.523e+03,8.393e+04,8.709e+04
31.2,1.847e+03,6.279e+03,1.068e+05,1.149e+05
32.7,5.553e+03,1.608e+04,1.483e+05,1.699e+05
34.2,1.166e+04,3.187e+04,1.896e+05,2.331e+05
35.7,1.923e+04,4.922e+04,2.292e+05,2.977e+05
37.2,3.178e+04,6.938e+04,3.001e+05,4.013e+05
38.6,4.074e+04,6.858e+04,4.380e+05,5.473e+05
40.1,4.247e+04,4.957e+04,7.144e+05,8.064e+05
41.6,4.120e+04,3.300e+04,1.043e+06,1.117e+06
43.1,4.032e+04,2.532e+04,1.204e+06,1.270e+06
44.6,3.864e+04,2.131e+04,1.164e+06,1.224e+06
46.1,3.308e+04,1.509e+04,9.932e+05,1.041e+06
47.6,2.646e+04,1.067e+04,8.171e+05,8.542e+05
49.0,2.102e+04,8.862e+03,6.632e+05,6.931e+05
50.5,1.709e+04,8.839e+03,5.397e+05,5.656e+05
52.0,1.353e+04,1.004e+04,4.341e+05,4.576e+05
53.5,1.047e+04,1.305e+04,3.472e+05,3.707e+05
55.0,7.479e+03,1.574e+04,2.775e+05,3.008e+05
56.5,5.657e+03,1.803e+04,2.291e+05,2.528e+05
58.0,6.041e+03,2.241e+04,2.021e+05,2.306e+05
59.5,8.512e+03,2.563e+04,1.901e+05,2.242e+05
60.9,1.320e+04,2.459e+04,1.977e+05,2.355e+05
62.4,1.638e+04,2.067e+04,1.999e+05,2.369e+05
63.9,1.726e+04,1.597e+04,1.891e+05,2.224e+05
65.4,1.724e+04,1.212e+04,1.751e+05,2.045e+05
66.9,1.735e+04,9.440e+03,1.624e+05,1.892e+05
68.4,1.730e+04,7.868e+03,1.504e+05,1.756e+05
69.9,1.640e+04,6.932e+03,1.401e+05,1.634e+05
71.3,1.432e+04,6.201e+03,1.260e+05,1.466e+05
72.8,1.254e+04,5.814e+03,1.145e+05,1.329e+05
74.3,1.185e+04,6.709e+03,1.061e+05,1.247e+05
75.8,1.089e+04,8.094e+03,9.829e+04,1.173e+05
77.3,9.488e+03,8.661e+03,9.158e+04,1.097e+05
78.8,7.854e+03,7.977e+03,8.569e+04,1.015e+05
80.3,7.097e+03,8.557e+03,7.896e+04,9.461e+04
81.7,7.472e+03,1.085e+04,7.692e+04,9.525e+04
83.2,9.342e+03,1.499e+04,8.955e+04,1.139e+05
84.7,1.169e+04,1.875e+04,1.087e+05,1.391e+05
86.2,1.396e+04,2.147e+04,1.251e+05,1.605e+05
87.7,1.546e+04,2.377e+04,1.327e+05,1.719e+05
89.2,1.624e+04,2.777e+04,1.323e+05,1.763e+05
90.7,1.640e+04,3.209e+04,1.291e+05,1.775e+05
92.2,1.653e+04,3.395e+04,1.322e+05,1.827e+05
93.6,1.612e+04,3.392e+04,1.409e+05,1.909e+05
95.1,1.511e+04,3.752e+04,1.504e+05,2.030e+05
96.6,1.392e+04,4.407e+04,1.547e+05,2.126e+05
98.1,1.500e+04,4.873e+04,1.597e+05,2.235e+05
99.6,1.974e+04,4.992e+04,1.785e+05,2.481e+05
101.1,2.695e+04,4.674e+04,2.064e+05,2.801e+05
102.6,3.528e+04,4.097e+04,2.360e+05,3.123e+05
104.0,4.518e+04,3.915e+04,2.751e+05,3.594e+05
105.5,5.618e+04,3.838e+04,3.216e+05,4.161e+05
107.0,6.936e+04,3.917e+04,3.835e+05,4.920e+05
108.5,8.345e+04,4.176e+04,4.527e+05,5.779e+05
110.0,9.869e+04,4.660e+04,5.280e+05,6.733e+05
111.5,1.120e+05,5.383e+04,5.883e+05,7.541e+05
113.0,1.210e+05,6.226e+04,6.283e+05,8.116e+05
114.4,1.426e+05,7.165e+04,7.183e+05,9.326e+05
115.9,1.702e+05,8.667e+04,8.385e+05,1.095e+06
117.4,1.973e+05,1.073e+05,9.661e+05,1.271e+06
118.9,1.992e+05,1.111e+05,9.377e+05,1.248e+06
120.4,1.813e+05,1.068e+05,8.081e+05,1.096e+06
121.9,1.428e+05,9.318e+04,6.058e+05,8.418e+05
123.4,1.141e+05,7.884e+04,4.656e+05,6.586e+05
124.9,1.071e+05,7.895e+04,4.405e+05,6.266e+05
126.3,1.240e+05,9.126e+04,5.452e+05,7.605e+05
127.8,1.436e+05,9.752e+04,6.440e+05,8.851e+05
129.3,1.552e+05,1.034e+05,6.809e+05,9.395e+05
130.8,1.236e+05,8.374e+04,5.080e+05,7.154e+05
132.3,7.252e+04,4.835e+04,2.791e+05,4.000e+05
133.8,1.720e+04,1.065e+04,6.501e+04,9.286e+04
135.3,2.138e+03,3.487e+02,8.655e+03,1.114e+04
136.7,2.218e+03,3.633e+02,9.000e+03,1.158e+04
138.2,2.339e+03,5.918e+02,9.837e+03,1.277e+04
139.7,2.391e+03,7.941e+02,9.975e+03,1.316e+04
141.2,2.694e+03,9.932e+02,1.124e+04,1.493e+04
142.7,2.918e+03,1.199e+03,1.214e+04,1.625e+04
144.2,3.088e+03,1.463e+03,1.289e+04,1.744e+04
145.7,3.302e+03,1.706e+03,1.364e+04,1.865e+04
147.1,3.428e+03,1.818e+03,1.404e+04,1.929e+04
148.6,3.379e+03,1.878e+03,1.387e+04,1.913e+04
150.1,3.289e+03,1.859e+03,1.356e+04,1.871e+04
151.6,3.292e+03,1.786e+03,1.323e+04,1.831e+04
153.1,3.472e+03,1.839e+03,1.330e+04,1.861e+04
154.6,3.511e+03,1.985e+03,1.382e+04,1.932e+04
156.1,3.430e+03,2.032e+03,1.353e+04,1.899e+04
157.6,3.181e+03,1.888e+03,1.248e+04,1.755e+04
159.0,3.025e+03,1.785e+03,1.171e+04,1.652e+04
160.5,3.041e+03,1.733e+03,1.125e+04,1.602e+04
162.0,3.014e+03,1.688e+03,1.074e+04,1.544e+04
163.5,2.973e+03,1.724e+03,1.046e+04,1.516e+04
165.0,3.144e+03,1.866e+03,1.047e+04,1.548e+04
166.5,3.570e+03,2.169e+03,1.094e+04,1.668e+04
168.0,3.628e+03,2.264e+03,1.074e+04,1.664e+04
169.4,3.491e+03,2.190e+03,1.008e+04,1.576e+04
170.9,3.274e+03,2.141e+03,9.453e+03,1.487e+04
172.4,3.148e+03,2.121e+03,9.016e+03,1.428e+04
173.9,3.003e+03,2.044e+03,8.325e+03,1.337e+04
175.4,2.903e+03,1.952e+03,7.435e+03,1.229e+04
176.9,2.889e+03,1.905e+03,6.768e+03,1.156e+04
178.4,3.005e+03,2.119e+03,6.897e+03,1.202e+04
179.8,3.166e+03,2.239e+03,7.141e+03,1.255e+04
181.3,3.284e+03,2.222e+03,7.216e+03,1.272e+04
182.8,3.268e+03,2.265e+03,7.055e+03,1.259e+04
184.3,3.204e+03,2.024e+03,6.872e+03,1.210e+04
185.8,3.155e+03,1.960e+03,6.795e+03,1.191e+04
187.3,3.003e+03,2.000e+03,6.664e+03,1.167e+04
188.8,2.888e+03,2.102e+03,6.239e+03,1.123e+04
190.3,2.889e+03,2.288e+03,6.144e+03,1.132e+04
191.7,3.119e+03,2.495e+03,6.166e+03,1.178e+04
193.2,3.697e+03,3.042e+03,6.397e+03,1.314e+04
194.7,4.314e+03,3.929e+03,7.034e+03,1.528e+04
196.2,4.332e+03,4.323e+03,6.949e+03,1.560e+04
197.7,4.320e+03,4.761e+03,6.864e+03,1.594e+04
199.2,4.293e+03,5.128e+03,6.711e+03,1.613e+04
