freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.113e+02,4.199e+02,1.716e+01,5.483e+02
1.5,8.439e+01,2.452e+02,3.111e+01,3.607e+02
2.9,2.826e+01,2.127e+01,2.906e+01,7.859e+01
4.4,2.859e+01,2.303e+02,2.974e+01,2.886e+02
5.9,2.598e+01,1.019e+03,3.085e+01,1.076e+03
7.4,2.448e+01,1.796e+03,3.294e+01,1.854e+03
8.8,2.543e+01,2.715e+03,4.014e+01,2.781e+03
10.3,2.699e+01,3.989e+03,4.416e+01,4.060e+03
11.8,2.468e+01,5.776e+03,4.853e+01,5.849e+03
13.2,2.707e+01,7.876e+03,5.350e+01,7.956e+03
14.7,3.119e+01,1.059e+04,7.820e+01,1.070e+04
16.2,4.104e+01,1.449e+04,1.002e+02,1.463e+04
17.7,5.991e+01,1.945e+04,1.246e+02,1.963e+04
19.1,8.602e+01,2.482e+04,1.458e+02,2.506e+04
20.6,1.037e+02,2.872e+04,1.606e+02,2.898e+04
22.1,1.269e+02,3.506e+04,2.343e+02,3.542e+04
23.5,2.467e+02,4.724e+04,3.235e+02,4.781e+04
25.0,4.774e+02,6.479e+04,4.879e+02,6.575e+04
26.5,7.403e+02,8.707e+04,8.161e+02,8.862e+04
28.0,1.149e+03,1.215e+05,1.311e+03,1.239e+05
29.4,2.155e+03,1.764e+05,2.287e+03,1.808e+05
30.9,4.448e+03,2.428e+05,4.614e+03,2.518e+05
32.4,1.120e+04,3.758e+05,1.017e+04,3.971e+05
33.8,3.541e+04,6.468e+05,1.863e+04,7.009e+05
35.3,8.089e+04,8.996e+05,2.278e+04,1.003e+06
36.8,1.289e+05,9.562e+05,2.207e+04,1.107e+06
38.3,1.625e+05,8.334e+05,2.114e+04,1.017e+06
39.7,1.842e+05,6.648e+05,2.000e+04,8.690e+05
41.2,2.119e+05,5.227e+05,1.624e+04,7.508e+05
42.7,2.647e+05,4.195e+05,9.988e+03,6.942e+05
44.1,3.056e+05,3.424e+05,5.739e+03,6.538e+05
45.6,2.688e+05,2.719e+05,5.990e+03,5.467e+05
47.1,2.197e+05,2.211e+05,9.576e+03,4.504e+05
48.6,1.923e+05,1.762e+05,1.258e+04,3.811e+05
50.0,1.688e+05,1.396e+05,1.522e+04,3.236e+05
51.5,1.304e+05,1.160e+05,1.504e+04,2.615e+05
53.0,9.930e+04,1.022e+05,1.162e+04,2.131e+05
54.4,9.031e+04,8.832e+04,1.021e+04,1.888e+05
55.9,8.585e+04,6.931e+04,9.885e+03,1.650e+05
57.4,8.109e+04,5.217e+04,1.149e+04,1.447e+05
58.9,7.429e+04,4.063e+04,1.521e+04,1.301e+05
60.3,6.355e+04,3.152e+04,1.742e+04,1.125e+05
61.8,5.372e+04,2.453e+04,1.780e+04,9.606e+04
63.3,4.329e+04,2.015e+04,1.554e+04,7.898e+04
64.7,3.416e+04,1.861e+04,1.086e+04,6.364e+04
66.2,2.842e+04,1.863e+04,7.837e+03,5.488e+04
67.7,2.568e+04,2.100e+04,6.541e+03,5.323e+04
69.2,2.483e+04,2.467e+04,5.318e+03,5.482e+04
70.6,2.477e+04,2.894e+04,3.113e+03,5.682e+04
72.1,2.532e+04,3.496e+04,2.123e+03,6.240e+04
73.6,2.382e+04,3.890e+04,1.604e+03,6.432e+04
75.0,2.143e+04,4.270e+04,1.104e+03,6.524e+04
76.5,1.900e+04,4.798e+04,9.171e+02,6.789e+04
78.0,1.498e+04,4.944e+04,1.254e+03,6.567e+04
79.5,9.949e+03,4.218e+04,1.886e+03,5.402e+04
80.9,6.021e+03,3.098e+04,2.596e+03,3.960e+04
82.4,3.830e+03,2.243e+04,3.271e+03,2.953e+04
83.9,2.663e+03,1.839e+04,2.522e+03,2.358e+04
85.3,2.379e+03,1.624e+04,2.578e+03,2.119e+04
86.8,2.243e+03,1.450e+04,2.476e+03,1.922e+04
88.3,2.000e+03,1.385e+04,2.241e+03,1.809e+04
89.8,1.670e+03,1.376e+04,1.859e+03,1.729e+04
91.2,1.488e+03,1.192e+04,2.167e+03,1.557e+04
92.7,1.521e+03,1.076e+04,3.948e+03,1.622e+04
94.2,1.706e+03,1.038e+04,7.618e+03,1.970e+04
95.6,2.232e+03,9.464e+03,1.260e+04,2.430e+04
