freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.286e+02,5.034e+02,1.920e+01,7.512e+02
1.5,7.455e+02,2.767e+02,6.661e+01,1.089e+03
2.9,9.203e+02,3.398e+01,8.372e+01,1.038e+03
4.4,9.851e+02,2.381e+02,1.119e+02,1.335e+03
5.9,9.008e+02,1.038e+03,1.304e+02,2.070e+03
7.4,7.294e+02,1.863e+03,1.034e+02,2.695e+03
8.8,5.786e+02,2.877e+03,7.506e+01,3.530e+03
10.3,8.582e+02,4.260e+03,9.935e+01,5.218e+03
11.8,8.781e+02,6.105e+03,1.217e+02,7.105e+03
13.3,7.631e+02,8.297e+03,1.056e+02,9.165e+03
14.7,8.947e+02,1.120e+04,1.199e+02,1.222e+04
16.2,7.395e+02,1.517e+04,1.215e+02,1.603e+04
17.7,9.355e+02,2.090e+04,1.325e+02,2.197e+04
19.2,9.206e+02,2.928e+04,1.266e+02,3.032e+04
20.6,1.097e+03,4.035e+04,1.350e+02,4.159e+04
22.1,9.966e+02,5.126e+04,1.257e+02,5.239e+04
23.6,9.886e+02,7.222e+04,1.512e+02,7.336e+04
25.0,1.525e+03,1.087e+05,1.338e+02,1.104e+05
26.5,2.578e+03,1.291e+05,1.999e+02,1.318e+05
28.0,2.381e+03,1.297e+05,3.334e+02,1.324e+05
29.5,2.398e+03,1.561e+05,4.925e+02,1.590e+05
30.9,2.340e+03,2.397e+05,7.670e+02,2.429e+05
32.4,4.863e+03,4.290e+05,1.363e+03,4.352e+05
33.9,2.201e+04,7.575e+05,1.939e+03,7.814e+05
35.4,5.575e+04,1.027e+06,1.877e+03,1.085e+06
36.8,9.012e+04,1.072e+06,1.612e+03,1.164e+06
38.3,1.146e+05,9.226e+05,1.567e+03,1.039e+06
39.8,1.379e+05,7.642e+05,1.642e+03,9.038e+05
41.2,1.703e+05,6.337e+05,1.848e+03,8.058e+05
42.7,2.279e+05,5.405e+05,2.157e+03,7.706e+05
44.2,3.105e+05,4.585e+05,2.854e+03,7.718e+05
45.7,3.488e+05,3.399e+05,4.162e+03,6.929e+05
47.1,2.773e+05,2.315e+05,6.646e+03,5.154e+05
48.6,2.041e+05,1.910e+05,8.480e+03,4.036e+05
50.1,1.670e+05,1.733e+05,8.894e+03,3.492e+05
51.6,1.435e+05,1.463e+05,7.437e+03,2.973e+05
53.0,1.228e+05,1.202e+05,6.028e+03,2.490e+05
54.5,1.076e+05,9.906e+04,7.365e+03,2.141e+05
56.0,9.737e+04,8.686e+04,8.132e+03,1.924e+05
57.5,9.371e+04,7.503e+04,8.510e+03,1.772e+05
58.9,8.541e+04,6.020e+04,1.001e+04,1.556e+05
60.4,7.400e+04,4.890e+04,1.180e+04,1.347e+05
61.9,6.244e+04,3.891e+04,1.311e+04,1.145e+05
63.3,5.012e+04,3.382e+04,1.317e+04,9.712e+04
64.8,3.912e+04,3.075e+04,1.221e+04,8.207e+04
66.3,3.099e+04,2.766e+04,1.119e+04,6.984e+04
67.8,2.633e+04,2.749e+04,1.090e+04,6.472e+04
69.2,2.448e+04,3.073e+04,1.166e+04,6.687e+04
70.7,2.253e+04,3.319e+04,9.282e+03,6.500e+04
72.2,2.142e+04,3.654e+04,7.024e+03,6.497e+04
73.7,2.040e+04,4.084e+04,5.048e+03,6.629e+04
75.1,1.861e+04,4.711e+04,3.066e+03,6.879e+04
76.6,1.727e+04,5.690e+04,1.763e+03,7.594e+04
78.1,1.365e+04,5.982e+04,1.537e+03,7.501e+04
79.5,8.478e+03,4.769e+04,1.215e+03,5.738e+04
81.0,5.262e+03,3.882e+04,1.007e+03,4.509e+04
82.5,4.341e+03,3.578e+04,1.323e+03,4.144e+04
84.0,3.420e+03,2.991e+04,2.040e+03,3.537e+04
85.4,2.539e+03,2.530e+04,2.838e+03,3.068e+04
86.9,2.351e+03,2.302e+04,3.653e+03,2.902e+04
88.4,2.328e+03,2.219e+04,4.666e+03,2.918e+04
89.9,2.157e+03,2.103e+04,5.775e+03,2.896e+04
91.3,2.148e+03,1.864e+04,6.823e+03,2.761e+04
92.8,2.505e+03,1.694e+04,8.009e+03,2.745e+04
94.3,3.088e+03,1.447e+04,9.695e+03,2.725e+04
95.8,3.735e+03,1.067e+04,1.170e+04,2.610e+04
97.2,4.375e+03,7.814e+03,1.283e+04,2.502e+04
98.7,4.779e+03,5.670e+03,1.309e+04,2.354e+04
100.2,4.748e+03,4.271e+03,1.236e+04,2.138e+04
101.6,4.672e+03,4.323e+03,1.183e+04,2.083e+04
103.1,4.652e+03,4.957e+03,1.165e+04,2.126e+04
104.6,4.730e+03,5.722e+03,1.242e+04,2.287e+04
106.1,4.777e+03,6.704e+03,1.383e+04,2.531e+04
107.5,4.895e+03,7.687e+03,1.501e+04,2.759e+04
109.0,5.051e+03,8.298e+03,1.555e+04,2.889e+04
110.5,4.894e+03,8.433e+03,1.525e+04,2.858e+04
112.0,4.664e+03,8.704e+03,1.530e+04,2.866e+04
113.4,4.213e+03,8.761e+03,1.528e+04,2.825e+04
114.9,3.994e+03,9.032e+03,1.494e+04,2.797e+04
116.4,3.785e+03,8.826e+03,1.393e+04,2.654e+04
117.9,3.671e+03,8.424e+03,1.234e+04,2.443e+04
119.3,3.577e+03,8.054e+03,1.122e+04,2.285e+04
120.8,3.523e+03,7.762e+03,1.004e+04,2.133e+04
122.3,3.627e+03,7.273e+03,8.353e+03,1.925e+04
123.7,3.801e+03,6.990e+03,7.192e+03,1.798e+04
125.2,3.983e+03,6.866e+03,6.439e+03,1.729e+04
126.7,4.075e+03,7.021e+03,7.268e+03,1.836e+04
128.2,5.849e+03,1.055e+04,2.720e+04,4.360e+04
129.6,5.779e+03,9.077e+03,2.319e+04,3.805e+04
131.1,3.609e+03,6.081e+03,8.030e+03,1.772e+04
132.6,2.438e+03,4.284e+03,6.615e+03,1.334e+04
134.1,8.962e+02,1.998e+03,2.566e+03,5.461e+03
135.5,6.870e+02,1.286e+03,1.881e+03,3.853e+03
137.0,8.027e+02,8.779e+02,2.189e+03,3.869e+03
138.5,7.087e+02,6.634e+02,2.340e+03,3.713e+03
139.9,6.169e+02,7.765e+02,2.035e+03,3.428e+03
141.4,5.133e+02,9.550e+02,1.607e+03,3.076e+03
142.9,3.783e+02,1.120e+03,1.205e+03,2.703e+03
144.4,4.132e+02,1.139e+03,1.134e+03,2.687e+03
145.8,5.051e+02,1.191e+03,1.130e+03,2.826e+03
147.3,5.977e+02,1.137e+03,1.059e+03,2.793e+03
148.8,6.450e+02,9.930e+02,1.088e+03,2.726e+03
150.3,5.841e+02,8.151e+02,1.135e+03,2.534e+03
151.7,5.066e+02,7.085e+02,1.130e+03,2.345e+03
153.2,4.645e+02,6.317e+02,1.059e+03,2.155e+03
154.7,4.983e+02,5.396e+02,9.290e+02,1.967e+03
156.2,4.850e+02,5.102e+02,9.181e+02,1.913e+03
157.6,3.764e+02,5.282e+02,9.253e+02,1.830e+03
159.1,3.738e+02,5.052e+02,9.042e+02,1.783e+03
160.6,4.070e+02,4.310e+02,8.480e+02,1.686e+03
162.0,3.949e+02,3.743e+02,9.076e+02,1.677e+03
163.5,2.902e+02,4.016e+02,8.781e+02,1.570e+03
165.0,3.210e+02,4.650e+02,8.694e+02,1.655e+03
166.5,4.253e+02,5.362e+02,9.817e+02,1.943e+03
167.9,4.578e+02,5.480e+02,1.134e+03,2.140e+03
169.4,3.943e+02,5.522e+02,1.174e+03,2.121e+03
170.9,3.545e+02,6.200e+02,1.205e+03,2.180e+03
172.4,3.665e+02,6.883e+02,1.348e+03,2.403e+03
173.8,4.748e+02,8.159e+02,1.723e+03,3.013e+03
175.3,5.180e+02,9.856e+02,1.986e+03,3.489e+03
176.8,5.587e+02,1.072e+03,2.221e+03,3.852e+03
178.2,6.127e+02,1.082e+03,2.242e+03,3.937e+03
179.7,6.682e+02,1.180e+03,2.253e+03,4.102e+03
181.2,6.447e+02,1.229e+03,2.227e+03,4.101e+03
182.7,7.191e+02,1.435e+03,2.292e+03,4.446e+03
184.1,8.047e+02,1.604e+03,2.199e+03,4.607e+03
185.6,7.157e+02,1.503e+03,1.823e+03,4.042e+03
187.1,6.246e+02,1.412e+03,1.402e+03,3.438e+03
188.6,5.257e+02,1.378e+03,1.066e+03,2.971e+03
190.0,4.655e+02,1.243e+03,7.483e+02,2.457e+03
191.5,4.755e+02,1.109e+03,7.007e+02,2.285e+03
193.0,5.166e+02,1.080e+03,7.877e+02,2.384e+03
194.5,6.538e+02,1.309e+03,1.070e+03,3.033e+03
195.9,7.781e+02,1.502e+03,1.432e+03,3.712e+03
197.4,9.437e+02,1.659e+03,1.772e+03,4.375e+03
198.9,1.115e+03,1.947e+03,1.918e+03,4.980e+03
