freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.114e+02,4.611e+02,2.207e+01,5.945e+02
1.5,9.147e+01,2.677e+02,3.537e+01,3.945e+02
3.0,3.301e+01,2.555e+01,3.114e+01,8.970e+01
4.5,3.154e+01,2.561e+02,3.038e+01,3.180e+02
5.9,2.636e+01,1.100e+03,3.225e+01,1.158e+03
7.4,2.638e+01,1.921e+03,3.437e+01,1.982e+03
8.9,3.084e+01,2.812e+03,3.583e+01,2.878e+03
10.4,3.091e+01,4.183e+03,4.095e+01,4.255e+03
11.9,2.912e+01,6.041e+03,4.955e+01,6.120e+03
13.4,3.264e+01,8.241e+03,6.037e+01,8.334e+03
14.8,3.496e+01,1.112e+04,7.982e+01,1.124e+04
16.3,4.542e+01,1.531e+04,1.029e+02,1.546e+04
17.8,6.518e+01,2.073e+04,1.320e+02,2.093e+04
19.3,8.765e+01,2.650e+04,1.644e+02,2.675e+04
20.8,9.338e+01,2.949e+04,1.742e+02,2.976e+04
22.3,1.224e+02,3.650e+04,2.256e+02,3.685e+04
23.7,2.583e+02,5.226e+04,3.013e+02,5.282e+04
25.2,5.665e+02,7.515e+04,4.407e+02,7.616e+04
26.7,9.530e+02,1.043e+05,8.475e+02,1.061e+05
28.2,1.638e+03,1.480e+05,1.573e+03,1.512e+05
29.7,3.050e+03,2.032e+05,2.526e+03,2.088e+05
31.2,5.856e+03,2.703e+05,4.943e+03,2.811e+05
32.6,1.608e+04,4.417e+05,1.134e+04,4.691e+05
34.1,4.599e+04,6.853e+05,1.743e+04,7.487e+05
35.6,8.428e+04,8.470e+05,2.002e+04,9.513e+05
37.1,1.181e+05,8.813e+05,2.131e+04,1.021e+06
38.6,1.440e+05,7.704e+05,2.194e+04,9.364e+05
40.1,1.608e+05,6.097e+05,2.067e+04,7.912e+05
41.5,1.855e+05,4.777e+05,1.594e+04,6.791e+05
43.0,2.265e+05,3.781e+05,1.030e+04,6.150e+05
44.5,2.544e+05,3.066e+05,7.783e+03,5.689e+05
46.0,2.283e+05,2.497e+05,6.724e+03,4.848e+05
47.5,1.986e+05,2.074e+05,6.618e+03,4.126e+05
49.0,1.825e+05,1.688e+05,9.493e+03,3.608e+05
50.4,1.612e+05,1.370e+05,1.213e+04,3.103e+05
51.9,1.333e+05,1.154e+05,1.124e+04,2.600e+05
53.4,1.163e+05,9.338e+04,9.815e+03,2.195e+05
54.9,1.015e+05,7.389e+04,9.366e+03,1.848e+05
56.4,9.044e+04,5.998e+04,8.349e+03,1.588e+05
57.9,8.378e+04,4.560e+04,8.432e+03,1.378e+05
59.3,7.354e+04,3.444e+04,1.033e+04,1.183e+05
60.8,6.264e+04,2.890e+04,1.257e+04,1.041e+05
62.3,5.147e+04,2.592e+04,1.484e+04,9.224e+04
63.8,3.966e+04,2.399e+04,1.478e+04,7.843e+04
65.3,2.996e+04,2.353e+04,1.245e+04,6.594e+04
66.8,2.498e+04,2.489e+04,1.023e+04,6.010e+04
68.2,2.525e+04,2.785e+04,6.663e+03,5.977e+04
69.7,2.608e+04,3.150e+04,4.937e+03,6.252e+04
71.2,2.453e+04,3.413e+04,3.412e+03,6.208e+04
72.7,2.233e+04,3.583e+04,2.301e+03,6.046e+04
74.2,2.014e+04,3.765e+04,1.681e+03,5.947e+04
75.7,1.793e+04,4.189e+04,1.339e+03,6.116e+04
77.2,1.519e+04,4.693e+04,1.162e+03,6.328e+04
78.6,1.095e+04,4.484e+04,1.600e+03,5.740e+04
80.1,6.969e+03,3.683e+04,2.191e+03,4.599e+04
81.6,5.235e+03,3.384e+04,2.106e+03,4.118e+04
83.1,3.584e+03,2.756e+04,2.170e+03,3.332e+04
84.6,2.615e+03,2.180e+04,2.448e+03,2.686e+04
